COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
GRK 1020,A01 (50002),Introduction to the Reading of Ancient Greek 2 (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Mark Joyal
GRK 2752,A01 (64524),Readings in Greek Prose Literature (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Mark Joyal
GRK 3870,A01 (64525),The Attic Orators (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Mark Joyal
GRK 7100,T05 (64526),The Attic Orators (3),M,Jan 06 - Apr 09,Mark Joyal
LATN 1080,A01 (60158),Introduction to the Reading of Latin 1 (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",James Chlup
LATN 1090,A01 (50007),Introduction to the Reading of Latin 2 (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",Robert Nau
LATN 2720,A01 (64527),Selected Readings in Republican and Augustan Poetry (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Rory Egan
LATN 3942,T02 (64528),Lucretius (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Rory Egan
LATN 7200,T05 (64529),Lucretius (3),M,Jan 06 - Apr 09,Rory Egan
ECON 1010,A04 (59786),Introduction to Microeconomic Principles (3),M,"Jan 06 - Apr 09, 14:30-15:20 (MWF)",TBA
ECON 1010,A03 (52500),Introduction to Microeconomic Principles (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",TBA
ECON 1010,A02 (51682),Introduction to Microeconomic Principles (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Kristin Shaw
ECON 1010,A05 (61926),Introduction to Microeconomic Principles (3),M,"Jan 06 - Apr 09, 15:30-16:20 (MWF)",TBA
ECON 1010,A01 (52173),Introduction to Microeconomic Principles (3),M,"Jan 06 - Apr 09, 09:30-10:20 (MWF)",Rosa Sanchez Garcia
ECON 1010,D01 (51743),Introduction to Microeconomic Principles (3),DE,Jan 06 - Apr 09,TBA
ECON 1020,D01 (51744),Introduction to Macroeconomic Principles (3),DE,Jan 06 - Apr 09,TBA
ECON 1020,A02 (60257),Introduction to Macroeconomic Principles (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Laura Brown
ECON 1020,A03 (51668),Introduction to Macroeconomic Principles (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",TBA
ECON 1020,A01 (51666),Introduction to Macroeconomic Principles (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Ardeshir Sepehri-Borojeni
ECON 1220,A01 (55738),Introduction to Global and Environmental Economic Issues and Policies (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",TBA
ECON 2010,D01 (53381),Microeconomic Theory 1 (3),DE,Jan 06 - Apr 09,TBA
ECON 2010,A02 (55739),Microeconomic Theory 1 (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",TBA
ECON 2010,A01 (52999),Microeconomic Theory 1 (3),M,"Jan 06 - Apr 09, 16:00-17:15 (TR)",TBA
ECON 2020,A02 (53001),Macroeconomic Theory 1 (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Carlos Yepez
ECON 2020,D01 (53382),Macroeconomic Theory 1 (3),DE,Jan 06 - Apr 09,TBA
ECON 2020,A01 (61936),Macroeconomic Theory 1 (3),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",TBA
ECON 2030,A01 (53003),Mathematical Economics 1 (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",TBA
ECON 2040,D01 (57450),Quantitative Methods in Economics (3),DE,Jan 06 - Apr 09,TBA
ECON 2040,A01 (54508),Quantitative Methods in Economics (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Janelle Mann
ECON 2362,A01 (51862),Economics of Gender (3),M,"Jan 06 - Apr 09, 12:30-13:20 (MWF)",TBA
ECON 2362,A02 (60945),Economics of Gender (3),M,"Jan 06 - Apr 09, 14:30-15:20 (MWF)",TBA
ECON 2390,A01 (59899),Introduction to Environmental Economics (3),M,"Jan 06 - Apr 09, 13:30-14:20 (MWF)",TBA
ECON 2510,G05 (62675),The Economy of Ukraine (3),M,"Jan 06 - Apr 09, 15:30-16:20 (MWF)",TBA
ECON 2520,A01 (64361),Economics of Sports and Leisure (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Ryan Compton
ECON 2520,A02 (64362),Economics of Sports and Leisure (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Ryan Compton
ECON 2540,A01 (63621),Political Economy 1: Production and Distribution (3),M,"Jan 06 - Apr 09, 08:30-09:20 (MWF)",Rosa Sanchez Garcia
ECON 2550,A01 (50380),Political Economy 2: Economic Growth and Fluctuations in a Global Economic Environment (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Robert Chernomas
ECON 2610,T05 (63622),Game Theory (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Safoura Moeeni
ECON 2670,A01 (64363),Income Distribution (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Jesse Hajer
ECON 3010,A02 (61940),Microeconomic Theory 2 (3),M,"Jan 06 - Apr 09, 16:00-17:15 (TR)",Hikmet Gunay
ECON 3010,A01 (53004),Microeconomic Theory 2 (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Edward Honda
ECON 3020,A01 (53005),Macroeconomic Theory 2 (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Kristin Shaw
ECON 3020,A02 (61941),Macroeconomic Theory 2 (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Federico Guzman
ECON 3030,A01 (53006),Mathematical Economics 2 (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Laura Brown
ECON 3040,A01 (53007),Introduction to Econometrics (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",Ryan Godwin
ECON 3040,A02 (58511),Introduction to Econometrics (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Ryan Godwin
ECON 3374,A01 (64405),Public Expenditure Analysis and Policy Evaluation (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Irwin Lipnowski
ECON 3394,A01 (60949),Development Economics: Problems and Policies (3),M,"Jan 06 - Apr 09, 10:30-11:20 (MWF)",TBA
ECON 3640,A01 (61951),Economics of the Financial System (3),M,"Jan 06 - Apr 09, 11:30-12:20 (MWF)",Rosa Sanchez Garcia
ECON 3650,A01 (64406),Monetary Macroeconomics and Policy (3),M,"Jan 06 - Apr 09, 13:00-14:15 (TR)",Carlos Yepez
ECON 3692,A01 (61853),Economic Determinants of Health (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Robert Chernomas
ECON 3742,A01 (58514),Industrial Organization and Firm Strategy (3),M,"Jan 06 - Apr 09, 10:00-11:15 (TR)",Irwin Lipnowski
ECON 4010,A01 (60951),Advanced Microeconomic Theory (3),M,"Jan 06 - Apr 09, 08:30-09:45 (TR)",Julia Witt
ECON 4040,A01 (53010),Seminar in Applied Econometrics (3),M,"Jan 06 - Apr 09, 16:00-17:15 (TR)",Edgar Villa Perez
ECON 4490,T18 (64407),Heterodox Feminist (3),M,"Jan 06 - Apr 09, 14:30-15:45 (TR)",Anamary Maqueira Linares
ECON 4490,T09 (64408),Social Finance and the Social/Solidarity Economy (3),M,"Jan 06 - Apr 09, 11:30-12:45 (TR)",Jesse Hajer
ECON 4490,T19 (64409),Game Theory and Industrial Organization (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Hikmet Gunay
